Count,Site ID number,Parameter,Start date,Start time,End date,End time,Sampling Strategy,Model Iterations,subsamples,percent culled,Mean ,SD of Mean (column L),5th Percentile,10th Percentile,20th Percentile,30th Percentile,40th Percentile,50th Percentile,60th Percentile,70th Percentile,80th Percentile,90th Percentile,95th Percentile,Mean Abs diff of mean,SD of abs diff of mean,Mean Abs diff of 5th percentile,Abs diff 10th,Abs diff 20th,Abs diff 30th,Abs diff 40th,Abs diff 50th,Abs diff 60th,Abs diff 70th,Abs diff 80th,Abs diff 90th,Abs diff 95th,Rel diff mean,SD of rel diff of mean,Rel diff 5th,Rel diff 10th,Rel diff 20th,Rel diff 30th,Rel diff 40th,Rel diff 50th,Rel diff 60th,Rel diff 70th,Rel diff 80th,Rel diff 90th,Rel diff 95th,SD of abs diff of 5th,SD of abs diff of 10th,SD of abs diff of 20th,SD of abs diff of 30th,SD of abs diff of 40th,SD of abs diff of 50th,SD of abs diff of 60th,SD of abs diff of 70th,SD of abs diff of 80th,SD of abs diff of 90th,SD of abs diff of 95th,SD of rel diff of 5th,SD of rel diff of 10th,SD of rel diff of 20th,SD of rel diff of 30th,SD of rel diff of 40th,SD of rel diff of 50th,SD of rel diff of 60th,SD of rel diff of 70th,SD of rel diff of 80th,SD of rel diff of 90th,SD of rel diff of 95th
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,5,perc culled,0.015185093036287203,0.0,-0.7859,-0.6588,-0.4048,-0.1845,0.002,0.1884,0.4475,0.7066,0.892,1.0037,1.0596,0.012478678006229047,0.0,-0.651,-0.5837,-0.4528,-0.3885,-0.3092,-0.2285,-0.1474,-0.0464,0.1067,0.3106,0.4013,9.806673094814379,0.0,-284.3032,-117.8152,-44.4966,-13.5485,2.6076,13.6013,45.9347,53.0791,70.4281,115.2132,243.0743,0.3896,0.3872,0.4095,0.3925,0.3654,0.3479,0.3627,0.3458,0.3764,0.3783,0.3899,224.0073,98.7575,53.2953,34.0053,29.0161,23.0226,33.2785,33.1971,42.5821,55.2463,204.4412
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,10,perc culled,0.015185093036287203,0.0,-0.983,-0.7116,-0.4443,-0.2628,-0.067,0.1806,0.3964,0.5565,0.7792,1.1042,1.3953,0.012478678006229047,0.0,-0.5757,-0.4917,-0.3871,-0.3095,-0.2036,-0.1289,-0.0819,-0.041,0.081,0.237,0.2895,9.806673094814379,0.0,-185.7024,-82.4142,-28.1246,-1.9599,9.8525,14.9333,27.5647,39.8755,56.1063,74.6265,136.7086,0.2192,0.2055,0.1868,0.1584,0.1728,0.1761,0.1751,0.1918,0.2324,0.2532,0.2645,124.7438,60.798,31.3445,22.8698,20.9923,19.752,17.8838,17.371,20.8708,33.1974,126.1137
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,15,perc culled,0.015185093036287203,0.0,-1.1409,-0.944,-0.6537,-0.3733,-0.1654,0.0188,0.195,0.4194,0.677,1.1026,1.4951,0.012478678006229047,0.0,-0.3681,-0.3004,-0.1876,-0.1182,-0.0598,-0.0192,0.0333,0.0857,0.1563,0.2125,0.2577,9.806673094814379,0.0,-114.2869,-49.5941,-30.372,-11.5771,0.1509,11.2468,35.5419,50.4493,61.6738,88.6768,178.6522,0.3439,0.3276,0.2887,0.308,0.2963,0.289,0.2851,0.2894,0.2964,0.295,0.3004,98.5287,31.5648,27.7177,23.699,19.0609,19.2733,20.4439,24.5731,26.3709,47.7153,173.2518
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,20,perc culled,0.015185093036287203,0.0,-1.3213,-1.146,-0.8234,-0.5498,-0.3017,-0.0677,0.2655,0.5286,0.7668,1.1843,1.6091,0.012478678006229047,0.0,-0.3894,-0.2392,-0.1145,-0.0647,-0.0157,0.0535,0.0992,0.1411,0.1898,0.2692,0.3231,9.806673094814379,0.0,-105.1961,-74.6722,-34.2816,-17.2548,-6.1492,3.1219,7.7885,23.2145,36.2058,57.052,173.9391,0.3931,0.1944,0.2306,0.2086,0.1898,0.1729,0.1684,0.1593,0.1776,0.1712,0.1903,57.5918,48.6474,35.6913,23.8633,17.5928,17.8103,19.6542,17.0734,19.3346,39.8026,167.9767
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,25,perc culled,0.015185093036287203,0.0,-1.3107,-1.007,-0.7091,-0.3842,-0.1293,0.074,0.3575,0.5094,0.7705,1.1227,1.3364,0.012478678006229047,0.0,-0.2622,-0.2335,-0.1658,-0.1302,-0.0832,-0.0489,-0.0099,0.054,0.125,0.1957,0.2267,9.806673094814379,0.0,-106.6647,-62.1409,-22.4569,-6.7252,-0.3044,7.9063,19.1085,24.4193,32.9567,51.2663,113.8947,0.2139,0.2126,0.2015,0.201,0.189,0.1969,0.1944,0.2148,0.2466,0.2648,0.2721,153.8925,79.3767,34.5062,24.2362,19.7906,21.7617,17.7622,16.2913,25.4299,28.9436,70.7269
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,30,perc culled,0.015185093036287203,0.0,-1.5324,-1.2024,-0.8662,-0.5059,-0.1957,0.0574,0.3086,0.5624,0.8345,1.151,1.4055,0.012478678006229047,0.0,-0.1834,-0.1592,-0.1101,-0.069,-0.0236,0.0111,0.0247,0.0675,0.1543,0.2352,0.2977,9.806673094814379,0.0,-97.5405,-59.5418,-32.0698,-20.1369,-10.464,-1.5685,2.994,9.1623,17.408,42.8184,105.5901,0.1455,0.1371,0.1393,0.1392,0.137,0.1378,0.14,0.1269,0.114,0.1141,0.1274,45.0982,26.9774,12.2578,15.4954,10.4605,10.5121,10.4826,9.8882,13.633,31.731,90.2883
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,40,perc culled,0.015185093036287203,0.0,-1.3164,-1.1158,-0.8261,-0.519,-0.2819,-0.0061,0.2375,0.4381,0.7502,1.1172,1.4645,0.012478678006229047,0.0,-0.1701,-0.1361,-0.0858,-0.0343,0.0201,0.0552,0.0855,0.1082,0.142,0.1804,0.2038,9.806673094814379,0.0,-69.9887,-45.1968,-19.665,-7.9526,-2.9924,7.6752,16.385,24.4709,29.8153,41.1314,108.1963,0.203,0.2031,0.1826,0.1672,0.145,0.1304,0.13,0.13,0.1408,0.1485,0.1592,60.3913,36.4227,21.4781,11.3993,10.1566,9.4561,11.9279,15.8311,18.3679,27.5594,102.6945
1,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,50,perc culled,0.015185093036287203,0.0,-1.3365,-1.1029,-0.7986,-0.5247,-0.262,-0.0006,0.2064,0.5301,0.8215,1.1963,1.434,0.012478678006229047,0.0,-0.1476,-0.1021,-0.0663,-0.0352,-0.0117,0.0079,0.0365,0.0585,0.106,0.1346,0.1684,9.806673094814379,0.0,-42.1354,-32.3751,-18.5364,-10.843,-4.5465,1.6221,8.6204,17.4631,25.326,35.723,86.5193,0.1038,0.1187,0.1203,0.1097,0.1099,0.1087,0.1278,0.1269,0.127,0.1211,0.116,17.4018,16.7302,9.9507,7.2107,7.8772,8.3871,6.9972,10.2453,15.7323,23.0958,60.533
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,5,perc culled,-0.056326291029760035,0.0,-0.8172,-0.7393,-0.5835,-0.4228,-0.2573,-0.0918,0.107,0.3057,0.5504,0.841,0.9862,0.034008488018217965,0.0,-0.6727,-0.5606,-0.3684,-0.2268,-0.0816,-0.0204,0.0946,0.2599,0.4057,0.5743,0.6163,0.8048109569025254,0.0,-140.0372,-72.589,-25.1191,-3.5451,8.5799,31.8286,56.3268,69.6831,88.3017,127.4805,200.5052,0.4893,0.493,0.4692,0.464,0.4198,0.3847,0.3705,0.3582,0.3859,0.4586,0.4808,103.3692,69.1077,50.5657,38.5512,33.6345,35.1977,37.6401,43.8695,61.2327,100.394,172.6134
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,10,perc culled,-0.056326291029760035,0.0,-1.383,-1.1054,-0.7007,-0.461,-0.275,-0.0466,0.1781,0.4049,0.76,1.1741,1.3697,0.034008488018217965,0.0,-0.4213,-0.3427,-0.264,-0.1914,-0.1027,-0.0137,0.0799,0.1573,0.2075,0.3856,0.4415,0.8048109569025254,0.0,-128.3561,-75.9473,-34.4588,-15.5167,-1.879,12.0455,30.8654,46.4138,59.3392,93.3678,167.4454,0.2842,0.2753,0.281,0.3046,0.2917,0.3132,0.336,0.369,0.378,0.3949,0.3842,85.2973,60.5586,33.5159,25.9002,21.8523,19.5059,21.8697,21.4472,24.9803,55.4389,125.8267
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,15,perc culled,-0.056326291029760035,0.0,-1.1098,-0.9488,-0.7913,-0.6093,-0.3302,-0.1275,0.1168,0.3738,0.5837,1.0427,1.3256,0.034008488018217965,0.0,-0.4602,-0.3759,-0.1607,-0.0728,-0.0064,0.0364,0.0955,0.1847,0.2426,0.3834,0.4518,0.8048109569025254,0.0,-115.1981,-55.6321,-22.8947,-7.1489,6.208,17.6881,29.8148,37.8978,54.5806,70.8916,121.9689,0.1385,0.1435,0.2077,0.2052,0.2146,0.2311,0.2374,0.2983,0.3032,0.3402,0.3594,78.3675,48.2393,21.5198,15.2039,9.9905,10.045,16.034,20.8441,28.8606,41.0472,83.0371
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,20,perc culled,-0.056326291029760035,0.0,-1.5294,-1.258,-0.7286,-0.4792,-0.2758,-0.0171,0.2138,0.4323,0.6661,1.1171,1.2665,0.034008488018217965,0.0,-0.2917,-0.2384,-0.1385,-0.0779,-0.0291,0.0295,0.0887,0.1506,0.2084,0.3152,0.3862,0.8048109569025254,0.0,-109.5929,-60.7285,-22.1028,-4.2179,2.4204,6.3168,20.4085,34.0369,52.6496,76.5791,153.084,0.2109,0.1987,0.2153,0.2366,0.2386,0.2167,0.2415,0.2442,0.2212,0.2887,0.3033,81.5305,41.0006,27.2061,14.5774,13.8989,13.4657,18.159,22.2495,29.9335,43.8463,109.9354
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,25,perc culled,-0.056326291029760035,0.0,-1.5684,-1.1402,-0.8309,-0.5267,-0.2858,-0.0528,0.1876,0.4294,0.7044,1.2454,1.4036,0.034008488018217965,0.0,-0.3169,-0.2697,-0.1889,-0.1347,-0.0907,-0.0389,0.0775,0.1694,0.2502,0.3608,0.4263,0.8048109569025254,0.0,-103.8638,-58.0674,-34.1009,-12.2642,-3.9838,6.9424,22.2608,27.5315,41.183,64.2218,136.188,0.2412,0.2488,0.2517,0.2341,0.2268,0.2324,0.2049,0.2241,0.2567,0.2521,0.272,65.3292,40.0924,31.6037,19.7843,13.7123,16.2096,19.4964,19.1009,22.652,32.7089,95.9146
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,30,perc culled,-0.056326291029760035,0.0,-1.4736,-1.2243,-0.8383,-0.5594,-0.2884,-0.1082,0.1309,0.3288,0.6539,1.1311,1.4275,0.034008488018217965,0.0,-0.2364,-0.1925,-0.1186,-0.0522,0.0011,0.0665,0.103,0.1693,0.2453,0.3042,0.3533,0.8048109569025254,0.0,-87.9092,-43.4389,-20.5008,-3.8196,0.2757,7.2042,21.8926,27.2478,43.193,63.509,103.1505,0.1831,0.161,0.1425,0.1731,0.1628,0.2029,0.191,0.1943,0.2225,0.2372,0.2526,54.8851,37.4188,22.2227,13.1333,12.3672,13.2652,15.5856,16.9183,15.003,28.3894,43.5114
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,40,perc culled,-0.056326291029760035,0.0,-1.5617,-1.1584,-0.8305,-0.5613,-0.2843,-0.0979,0.0938,0.3742,0.7185,1.1763,1.387,0.034008488018217965,0.0,-0.1791,-0.135,-0.0689,-0.0307,0.0114,0.0522,0.1011,0.1434,0.1793,0.2385,0.2714,0.8048109569025254,0.0,-54.6282,-29.9897,-12.7001,-3.0274,1.4954,5.1882,20.0277,24.0228,32.5273,48.5887,81.3702,0.1757,0.1577,0.1417,0.1487,0.1573,0.1596,0.1897,0.1974,0.2057,0.2269,0.2308,68.2059,41.77,20.5827,13.7816,14.6149,14.0767,15.2756,14.213,19.8054,31.4653,45.7029
2,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,50,perc culled,-0.056326291029760035,0.0,-1.4945,-1.2337,-0.9002,-0.6398,-0.3594,-0.072,0.1978,0.455,0.7944,1.1886,1.5182,0.034008488018217965,0.0,-0.1843,-0.1406,-0.0693,-0.0292,-0.008,0.019,0.0453,0.0944,0.1752,0.2184,0.2577,0.8048109569025254,0.0,-92.6068,-62.965,-21.9624,-11.2209,-3.6264,2.691,10.7931,18.0367,26.0489,41.3434,86.6533,0.1926,0.1706,0.1624,0.1688,0.1676,0.1767,0.186,0.1841,0.192,0.1921,0.207,59.9265,38.8548,14.8402,14.255,11.4846,11.008,11.2932,15.9873,22.2797,27.7055,76.8023
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,5,perc culled,0.05511859581892804,0.0,-0.795,-0.6753,-0.4358,-0.2257,-0.0451,0.1355,0.2605,0.3854,0.5675,0.8068,0.9265,-0.0025954497048563258,0.0,-0.7248,-0.6032,-0.3651,-0.2755,-0.1312,0.0463,0.109,0.213,0.3876,0.5719,0.6333,5.913233061246747,0.0,-135.6424,-67.5721,-19.2463,12.6985,24.4383,41.5373,58.2502,65.5175,85.7041,124.8219,195.3216,0.4845,0.4552,0.3986,0.3933,0.3915,0.351,0.3673,0.3843,0.3732,0.4218,0.435,175.6141,97.3962,55.2676,40.9733,37.1255,37.3783,37.853,32.3499,37.6036,79.8832,156.144
3,sdtest,DateTimes,2019-01-01,01:00:00,2021-01-01,01:00:00,INSERT SAMPLING STRATEGY,10,10,perc culled,0.05511859581892804,0.0,-1.2254,-1.0961,-0.5545,-0.3243,-0.0924,0.1398,0.3332,0.543,0.8179,1.2034,1.3403,-0.0025954497048563258,0.0,-0.3834,-0.3062,-0.2223,-0.1449,-0.1076,-0.0231,0.0117,0.0454,0.1436,0.2877,0.3428,5.913233061246747,0.0,-83.0171,-47.5576,-24.5661,-2.8783,8.3691,13.1161,18.9459,26.129,39.4578,56.8245,102.8297,0.1917,0.1877,0.2113,0.214,0.2078,0.1827,0.1928,0.1975,0.1827,0.1392,0.1475,77.6914,49.6622,34.1187,22.014,16.4887,13.3901,15.434,15.5009,28.5097,38.932,52.8533
