Parameter,Start date,Start time,End date,End time,Sampling Strategy,Model Iterations,Subsamples,Days,Potential Observations,Actual Observations,Mean of actual values,Mean of modeled values,Actual 5th Percentile,Modeled 5th Percentile,Actual 10th Percentile,Modeled 10th Percentile,Actual 20th Percentile,Modeled 20th Percentile,Actual 30th Percentile,Modeled 30th Percentile,Actual 40th Percentile,Modeled 40th Percentile,Actual 50th Percentile,Modeled 50th Percentile,Actual 60th Percentile,Modeled 60th Percentile,Actual 70th Percentile,Modeled 70th Percentile,Actual 80th Percentile,Modeled 80th Percentile,Actual 90th Percentile,Modeled 90th Percentile,Actual 95th Percentile,Modeled 95th Percentile
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,12/31/2019,23:45,025,100,30,364,35040,20361,2.2838318353713327,1.0331855136732828,0.8,0.7314167855940338,1.0,0.8414114300634281,1.1,0.9062791561912138,1.2,1.00455956692671,1.7,1.0102883383641124,2.1,1.0729728519326998,2.4,1.084999992835785,2.9,1.1,3.5,1.1,4.2,1.2202402497392377,4.7,1.4401968727402765
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2020,00:00,10/26/2020,22:45,025,100,30,299,27497,26510,2.872847981893598,0.21035819506900247,0.0,0.0,0.1,0.0,0.2,0.0001953125,1.0,0.00237823543649733,1.9,0.08752783551892973,2.5,0.17293243540390796,3.0,0.19951151609360435,3.5,0.2,4.0,0.30211916456320187,5.2,0.353807197771557,5.7,1.0913592478857188
"Nitrate plus nitrite, water, in situ, mg/L as N",05/01/2020,11:45,10/18/2020,18:30,2270418,100,10,170,15838,14854,2.8521004443242592,2.9234432656826477,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.3,0.9,0.9,1.5,1.5,3.6,3.6,4.8,4.8,5.6,5.6,6.1,6.1
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2020,00:00,06/30/2020,23:45,2270618,100,15,181,17468,17292,4.1820263705760174,4.248283038501556,1.5,1.8365999999999998,2.0,2.110800000000001,2.4,2.523599999999999,2.7,2.808599999999999,3.0,3.0612000000000004,3.4,3.3089999999999997,3.6,3.635800000000001,4.1,4.014,4.8,4.508800000000001,5.5,5.144799999999999,5.9,8.10069999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2020,00:00,05/22/2020,11:45,2270618,100,12,142,13676,13673,3.2450815475755395,3.2553409423471247,1.3,1.7719999999999994,1.8,2.0112,2.2,2.3564,2.5,2.6482,2.8,2.891199999999999,3.1,3.1214999999999993,3.4,3.4171999999999993,3.6,3.7275999999999985,4.1,4.089599999999999,5.1,4.7549,5.6,5.304750000000002
"Nitrate plus nitrite, water, unfiltered, pounds of nitrogen per day",01/01/2020,00:00,05/27/2020,12:00,2270618,100,15,147,14157,14080,96923.51065340909,97240.96939501779,12700.0,22723.480000000007,20200.0,29863.999999999985,40080.000000000015,43641.39999999999,55900.0,56708.60000000001,68500.0,69387.99999999999,78100.0,80302.0,88900.0,93472.99999999997,106000.0,110542.99999999996,152000.0,140510.80000000005,208000.0,182644.6,252000.0,210308.19999999995
"Nitrate plus nitrite, water, in situ, mg/L as N",05/22/2019,11:45,05/22/2020,11:45,2270012,100,30,366,35137,24982,2.549903930830189,2.550704338082331,0.9,0.9077499999999996,1.0,1.034000000000001,1.1,1.2166,1.5,1.5201999999999996,1.9,1.9108000000000005,2.3,2.323999999999999,2.7,2.7472,3.2,3.1681999999999997,3.7,3.679000000000001,4.7,4.408400000000001,5.3,2.47933947368421
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271214,100,30,365,35041,20362,2.2837982516450106,2.2888563049853206,0.8,0.8690499999999998,1.0,0.997400000000001,1.1,1.1444000000000003,1.2,1.4162000000000001,1.7,1.7455999999999992,2.1,2.0989999999999993,2.4,2.4836000000000014,2.9,2.9060999999999995,3.5,3.425600000000001,4.2,4.065999999999999,4.7,4.4750999999999985
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8437,1.0,0.9688000000000011,1.1,1.1473999999999998,1.2,1.3743999999999996,1.7,1.6676,2.1,1.9934999999999994,2.4,2.3679999999999986,2.9,2.7867999999999995,3.5,3.3201999999999994,4.2,4.018699999999999,4.7,4.476999999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2270012,100,30,365,35041,20362,2.2837982516450106,2.2827833431544775,0.8,0.8850999999999997,1.0,0.9995000000000009,1.1,1.1642,1.2,1.3955999999999997,1.7,1.7171999999999998,2.1,2.0534999999999997,2.4,2.4379999999999993,2.9,2.8619000000000003,3.5,3.3923999999999994,4.2,4.022900000000001,4.7,4.428699999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8509499999999999,1.0,0.977900000000001,1.1,1.1223999999999996,1.2,1.3389999999999995,1.7,1.6535999999999995,2.1,2.0415,2.4,2.398,2.9,2.8373,3.5,3.3917999999999995,4.2,4.097899999999998,4.7,4.517999999999996
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8693000000000001,1.0,0.9905000000000009,1.1,1.1434000000000006,1.2,1.3902,1.7,1.7255999999999985,2.1,2.0899999999999994,2.4,2.515800000000001,2.9,2.9395999999999987,3.5,3.4640000000000013,4.2,4.1167,4.7,4.502699999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,18,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8657500000000009,1.0,0.9899000000000002,1.1,1.1700000000000004,1.2,1.3996999999999993,1.7,1.704,2.1,2.0395000000000003,2.4,2.4322,2.9,2.839899999999999,3.5,3.322599999999999,4.2,3.9923999999999986,4.7,4.329299999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8616499999999999,1.0,0.978200000000001,1.1,1.1224000000000007,1.2,1.3402999999999994,1.7,1.647,2.1,2.029,2.4,2.4478000000000013,2.9,2.8793999999999977,3.5,3.3958,4.2,4.0870999999999995,4.7,4.500599999999999
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8647000000000005,1.0,0.9961000000000011,1.1,1.1509999999999998,1.2,1.3813000000000004,1.7,1.6815999999999995,2.1,2.0464999999999987,2.4,2.4258,2.9,2.9081000000000006,3.5,3.4356000000000013,4.2,4.0981,4.7,4.489000000000001
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8583999999999998,1.0,0.996700000000001,1.1,1.1345999999999994,1.2,1.3483999999999994,1.7,1.6573999999999998,2.1,2.0385000000000004,2.4,2.4499999999999993,2.9,2.8833,3.5,3.373600000000001,4.2,4.0834,4.7,4.502099999999997
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.84065,1.0,0.9752000000000011,1.1,1.1440000000000001,1.2,1.3224999999999993,1.7,1.657,2.1,2.0094999999999987,2.4,2.4198000000000004,2.9,2.8225,3.5,3.3048,4.2,3.9688000000000003,4.7,4.4179499999999985
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8878999999999998,1.0,1.001600000000001,1.1,1.1364000000000003,1.2,1.3608999999999998,1.7,1.6689999999999996,2.1,2.039499999999999,2.4,2.4658,2.9,2.9393000000000007,3.5,3.4708,4.2,4.057300000000001,4.7,2.2643868421052633
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8433499999999999,1.0,0.9749000000000011,1.1,1.1392,1.2,1.3580000000000005,1.7,1.6955999999999996,2.1,2.043999999999999,2.4,2.4541999999999997,2.9,2.9100999999999995,3.5,3.432000000000002,4.2,4.073,4.7,4.501750000000002
"Nitrate plus nitrite, water, in situ, mg/L as N",01/01/2019,00:00,01/01/2020,00:00,2271218,100,30,365,35041,20362,2.2837982516450106,2.2852767962309173,0.8,0.8677500000000001,1.0,0.9949000000000011,1.1,1.1113999999999997,1.2,1.2957999999999992,1.7,1.6217999999999997,2.1,2.0099999999999993,2.4,2.394,2.9,2.8213000000000004,3.5,3.3403999999999994,4.2,4.001099999999999,4.7,4.469449999999999
